ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
1,the,_,The,_,DT,2,_,_,_,_,_,_,_,O
2,first,_,first,_,JJ,2,_,_,_,_,_,_,_,O
3,law,_,law,_,NN,2,_,_,_,_,_,_,_,O
4,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
5,thermodynamics,_,UNK,_,NNS,2,_,_,_,_,_,_,_,O
6,imposes,_,UNK,_,NNS,2,_,_,_,_,_,_,_,O
7,not,_,not,_,RB,2,_,_,_,_,_,not.adv,Negation,O
8,just,_,just,_,RB,2,_,_,_,_,_,_,_,O
9,a,_,a,_,DT,2,_,_,_,_,_,_,_,O
10,constraint,_,UNK,_,NN,2,_,_,_,_,_,_,_,B-Negated_proposition
11,on,_,on,_,IN,2,_,_,_,_,_,_,_,I-Negated_proposition
12,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Negated_proposition
13,energy,_,energy,_,NN,2,_,_,_,_,_,_,_,I-Negated_proposition
14,content,_,content,_,NN,2,_,_,_,_,_,_,_,I-Negated_proposition
15,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Negated_proposition
16,systems,_,system,_,NNS,2,_,_,_,_,_,_,_,I-Negated_proposition
17,in,_,in,_,IN,2,_,_,_,_,_,_,_,I-Negated_proposition
18,extreme,_,extreme,_,JJ,2,_,_,_,_,_,_,_,I-Negated_proposition
19,quantum,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Negated_proposition
20,regimes,_,regime,_,NNS,2,_,_,_,_,_,_,_,I-Negated_proposition
21,but,_,but,_,CC,2,_,_,_,_,_,_,_,I-Negated_proposition
22,also,_,also,_,RB,2,_,_,_,_,_,_,_,I-Negated_proposition
23,symmetry,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Negated_proposition
24,constraints,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Negated_proposition
25,related,_,relate,_,VBN,2,_,_,_,_,_,_,_,I-Negated_proposition
26,to,_,to,_,TO,2,_,_,_,_,_,_,_,I-Negated_proposition
27,the,_,the,_,DT,2,_,_,_,_,_,_,_,I-Negated_proposition
28,thermodynamic,_,UNK,_,JJ,2,_,_,_,_,_,_,_,I-Negated_proposition
29,processing,_,processing,_,NN,2,_,_,_,_,_,_,_,I-Negated_proposition
30,of,_,of,_,IN,2,_,_,_,_,_,_,_,O
31,quantum,_,UNK,_,JJ,2,_,_,_,_,_,_,_,O
32,coherence,_,UNK,_,NN,2,_,_,_,_,_,_,_,O
33,.,_,.,_,.,2,_,_,_,_,_,_,_,O
1,the,_,The,_,DT,2,_,_,_,_,_,_,_,B-Time
2,first,_,first,_,JJ,2,_,_,_,_,_,_,_,I-Time
3,law,_,law,_,NN,2,_,_,_,_,_,_,_,I-Time
4,of,_,of,_,IN,2,_,_,_,_,_,_,_,I-Time
5,thermodynamics,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Time
6,imposes,_,UNK,_,NNS,2,_,_,_,_,_,_,_,I-Time
7,not,_,not,_,RB,2,_,_,_,_,_,_,_,I-Time
8,just,_,just,_,RB,2,_,_,_,_,_,_,_,I-Time
9,a,_,a,_,DT,2,_,_,_,_,_,_,_,I-Time
10,constraint,_,UNK,_,NN,2,_,_,_,_,_,_,_,I-Time
